filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,0,2
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,0,3
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,1,4
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,5
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,5,6
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,8,7
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,8,8
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,6,9
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,10
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,11
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,12
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,13
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,14
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,3,15
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,16
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,4,17
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,18
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,19
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,6,20
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,5,21
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,3,22
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,2,23
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,3,24
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,3,25
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,4,26
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,3,27
data/240521_MG/21-32-07/Imaris/21-32-07_100X_DG2_2_Statistics/21-32-07_100X_DG2_c2_Detailed.csv,0,28
