filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,2
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,3
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,6,4
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,4,5
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,4,6
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,4,7
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,5,8
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,3,9
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,2,10
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,4,11
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,2,12
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,2,13
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,14
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,0
