filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,0,2
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,0,3
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,12,4
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,15,5
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,18,6
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,19,7
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,21,8
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,19,9
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,23,10
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,21,11
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,22,12
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,24,13
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,22,14
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,19,15
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,15,16
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,15,17
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,16,18
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,12,19
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,7,20
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,7,21
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,6,22
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,8,23
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,6,24
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,8,25
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,4,26
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,2,27
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,1,28
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,1,29
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,2,30
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,1,31
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,1,32
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,2,33
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,9,34
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,4,35
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,4,36
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,2,37
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv,0,38
