filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,2,2
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,3,3
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,7,4
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,12,5
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,11,6
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,17,7
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,17,8
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,15,9
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,18,10
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,20,11
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,19,12
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,12,13
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,11,14
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,10,15
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,10,16
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,10,17
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,12,18
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,10,19
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,8,20
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,7,21
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,7,22
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,7,23
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,10,24
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,9,25
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,9,26
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,5,27
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,5,28
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,4,29
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,3,30
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,2,31
data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv,0,32
