filename,intersections,radius
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,0,0
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,0,1
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,0,2
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,0,3
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,1,4
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,6,5
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,9,6
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,11,7
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,12,8
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,15,9
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,17,10
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,12,11
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,15,12
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,27,13
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,32,14
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,32,15
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,28,16
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,18,17
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,22,18
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,22,19
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,24,20
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,21,21
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,24,22
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,26,23
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,24,24
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_1_Statistics/21-32-07_100x_DS2_c1_Detailed.csv,21,25
