filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,0,2
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,0,3
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,0,4
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,2,5
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,5,6
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,5,7
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,11,8
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,11,9
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,11,10
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,14,11
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,12,12
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,13,13
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,12,14
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,13,15
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,17,16
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,15,17
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,11,18
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,8,19
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,10,20
data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_2_Statistics/21-32-07_100x_VS1_c2_Detailed.csv,13,21
